row_idx	row_label	col_idx	col_label	similarity
46	java_recusion_gp1712	0	java_recusion_ab6512	0.5965874237359816
0	java_recusion_ab6512	47	java_recusion_hb2212	0.7653674551848312
47	java_recusion_hb2212	0	java_recusion_ab6512	0.7653674551848312
0	java_recusion_ab6512	48	java_recusion_hj1012	0.6812121911122823
48	java_recusion_hj1012	0	java_recusion_ab6512	0.6812121911122823
0	java_recusion_ab6512	49	java_recusion_hj1612	0.7286024908845288
49	java_recusion_hj1612	0	java_recusion_ab6512	0.7286024908845288
0	java_recusion_ab6512	50	java_recusion_hj512	0.9135312288119203
50	java_recusion_hj512	0	java_recusion_ab6512	0.9135312288119203
0	java_recusion_ab6512	51	java_recusion_ik1211	0.5196775010304415
51	java_recusion_ik1211	0	java_recusion_ab6512	0.5196775010304415
0	java_recusion_ab6512	52	java_recusion_ip512	0.7942811826473741
52	java_recusion_ip512	0	java_recusion_ab6512	0.7942811826473741
0	java_recusion_ab6512	53	java_recusion_jc3212	0.8461681058546482
53	java_recusion_jc3212	0	java_recusion_ab6512	0.8461681058546482
0	java_recusion_ab6512	54	java_recusion_jc4512	0.8562155499624913
54	java_recusion_jc4512	0	java_recusion_ab6512	0.8562155499624913
0	java_recusion_ab6512	55	java_recusion_jd3012	0.7405629763308733
55	java_recusion_jd3012	0	java_recusion_ab6512	0.7405629763308733
0	java_recusion_ab6512	56	java_recusion_jl6912	0.8737621981650043
56	java_recusion_jl6912	0	java_recusion_ab6512	0.8737621981650043
0	java_recusion_ab6512	57	java_recusion_jl8912	0.6945474385880139
57	java_recusion_jl8912	0	java_recusion_ab6512	0.6945474385880139
0	java_recusion_ab6512	58	java_recusion_jlk11	0.8611570186818721
58	java_recusion_jlk11	0	java_recusion_ab6512	0.8611570186818721
0	java_recusion_ab6512	59	java_recusion_jr1412	0.8946768740497104
59	java_recusion_jr1412	0	java_recusion_ab6512	0.8946768740497104
0	java_recusion_ab6512	60	java_recusion_jra12	0.7906371789380525
60	java_recusion_jra12	0	java_recusion_ab6512	0.7906371789380525
0	java_recusion_ab6512	61	java_recusion_jrc12	0.6779937308162568
61	java_recusion_jrc12	0	java_recusion_ab6512	0.6779937308162568
0	java_recusion_ab6512	62	java_recusion_jt1712	0.7606038718276987
62	java_recusion_jt1712	0	java_recusion_ab6512	0.7606038718276987
0	java_recusion_ab6512	63	java_recusion_jt1812	0.6862559937298677
63	java_recusion_jt1812	0	java_recusion_ab6512	0.6862559937298677
0	java_recusion_ab6512	64	java_recusion_jyy112	0.8841443153313456
64	java_recusion_jyy112	0	java_recusion_ab6512	0.8841443153313456
0	java_recusion_ab6512	65	java_recusion_jz4112	0.83507457112266
65	java_recusion_jz4112	0	java_recusion_ab6512	0.83507457112266
0	java_recusion_ab6512	66	java_recusion_khw12	0.7700389304607042
66	java_recusion_khw12	0	java_recusion_ab6512	0.7700389304607042
0	java_recusion_ab6512	67	java_recusion_kjz12	0.8685921331008236
67	java_recusion_kjz12	0	java_recusion_ab6512	0.8685921331008236
0	java_recusion_ab6512	68	java_recusion_kml211	0.8550589183481843
68	java_recusion_kml211	0	java_recusion_ab6512	0.8550589183481843
0	java_recusion_ab6512	69	java_recusion_kr1612	0.87155699772821
69	java_recusion_kr1612	0	java_recusion_ab6512	0.87155699772821
0	java_recusion_ab6512	70	java_recusion_ks3512	0.8405143421762011
70	java_recusion_ks3512	0	java_recusion_ab6512	0.8405143421762011
0	java_recusion_ab6512	71	java_recusion_kt1712	0.8416504345799937
71	java_recusion_kt1712	0	java_recusion_ab6512	0.8416504345799937
0	java_recusion_ab6512	72	java_recusion_lc3912	0.6260176869098648
72	java_recusion_lc3912	0	java_recusion_ab6512	0.6260176869098648
0	java_recusion_ab6512	73	java_recusion_lm1712	0.7728289888468666
73	java_recusion_lm1712	0	java_recusion_ab6512	0.7728289888468666
0	java_recusion_ab6512	74	java_recusion_lm3212	0.8616717249991982
74	java_recusion_lm3212	0	java_recusion_ab6512	0.8616717249991982
0	java_recusion_ab6512	75	java_recusion_lmj112	0.7695120099129757
75	java_recusion_lmj112	0	java_recusion_ab6512	0.7695120099129757
0	java_recusion_ab6512	76	java_recusion_lmk12	0.7525431520781024
76	java_recusion_lmk12	0	java_recusion_ab6512	0.7525431520781024
0	java_recusion_ab6512	77	java_recusion_ma8512	0.8291930644001488
77	java_recusion_ma8512	0	java_recusion_ab6512	0.8291930644001488
0	java_recusion_ab6512	78	java_recusion_md2312	0.8241524605681105
78	java_recusion_md2312	0	java_recusion_ab6512	0.8241524605681105
0	java_recusion_ab6512	79	java_recusion_med12	0.8304192588187544
79	java_recusion_med12	0	java_recusion_ab6512	0.8304192588187544
0	java_recusion_ab6512	80	java_recusion_mh3212	0.8122687147220525
80	java_recusion_mh3212	0	java_recusion_ab6512	0.8122687147220525
0	java_recusion_ab6512	81	java_recusion_mk7712	0.8385109584374871
81	java_recusion_mk7712	0	java_recusion_ab6512	0.8385109584374871
0	java_recusion_ab6512	82	java_recusion_mwc112	0.7638184808529322
82	java_recusion_mwc112	0	java_recusion_ab6512	0.7638184808529322
0	java_recusion_ab6512	83	java_recusion_nb1712	0.673690867495807
83	java_recusion_nb1712	0	java_recusion_ab6512	0.673690867495807
0	java_recusion_ab6512	84	java_recusion_om612	0.7274911231598882
84	java_recusion_om612	0	java_recusion_ab6512	0.7274911231598882
0	java_recusion_ab6512	85	java_recusion_ot612	0.832863929135505
85	java_recusion_ot612	0	java_recusion_ab6512	0.832863929135505
0	java_recusion_ab6512	86	java_recusion_pp2112	0.8665092530284093
86	java_recusion_pp2112	0	java_recusion_ab6512	0.8665092530284093
0	java_recusion_ab6512	87	java_recusion_ran12	0.7973131405327831
87	java_recusion_ran12	0	java_recusion_ab6512	0.7973131405327831
0	java_recusion_ab6512	88	java_recusion_rh2512	0.8325783752157618
88	java_recusion_rh2512	0	java_recusion_ab6512	0.8325783752157618
0	java_recusion_ab6512	89	java_recusion_rp1012	0.9189616126491928
89	java_recusion_rp1012	0	java_recusion_ab6512	0.9189616126491928
0	java_recusion_ab6512	90	java_recusion_rp2612	0.8964707511738468
90	java_recusion_rp2612	0	java_recusion_ab6512	0.8964707511738468
0	java_recusion_ab6512	91	java_recusion_ryz12	0.7594528012391466
91	java_recusion_ryz12	0	java_recusion_ab6512	0.7594528012391466
0	java_recusion_ab6512	92	java_recusion_sak212	0.7561973526415648
92	java_recusion_sak212	0	java_recusion_ab6512	0.7561973526415648
0	java_recusion_ab6512	93	java_recusion_sb5512	0.7153762962073671
93	java_recusion_sb5512	0	java_recusion_ab6512	0.7153762962073671
0	java_recusion_ab6512	94	java_recusion_sd4312	0.8596291904288914
94	java_recusion_sd4312	0	java_recusion_ab6512	0.8596291904288914
0	java_recusion_ab6512	95	java_recusion_skd212	0.7953071452596827
95	java_recusion_skd212	0	java_recusion_ab6512	0.7953071452596827
0	java_recusion_ab6512	96	java_recusion_slj12	0.7760088745868767
96	java_recusion_slj12	0	java_recusion_ab6512	0.7760088745868767
0	java_recusion_ab6512	97	java_recusion_sqy12	0.5533634673475091
97	java_recusion_sqy12	0	java_recusion_ab6512	0.5533634673475091
0	java_recusion_ab6512	98	java_recusion_sr3712	0.8096219452214695
98	java_recusion_sr3712	0	java_recusion_ab6512	0.8096219452214695
0	java_recusion_ab6512	99	java_recusion_sw3812	0.5579155355863178
99	java_recusion_sw3812	0	java_recusion_ab6512	0.5579155355863178
0	java_recusion_ab6512	100	java_recusion_sw4112	0.7334908548164354
100	java_recusion_sw4112	0	java_recusion_ab6512	0.7334908548164354
0	java_recusion_ab6512	101	java_recusion_swl311	0.6797339689489296
101	java_recusion_swl311	0	java_recusion_ab6512	0.6797339689489296
0	java_recusion_ab6512	102	java_recusion_ta2812	0.7364973580257397
102	java_recusion_ta2812	0	java_recusion_ab6512	0.7364973580257397
0	java_recusion_ab6512	103	java_recusion_tg1712	0.8637575702695219
103	java_recusion_tg1712	0	java_recusion_ab6512	0.8637575702695219
0	java_recusion_ab6512	104	java_recusion_thb12	0.8818802275747359
104	java_recusion_thb12	0	java_recusion_ab6512	0.8818802275747359
0	java_recusion_ab6512	105	java_recusion_tk2112	0.7993832801299547
105	java_recusion_tk2112	0	java_recusion_ab6512	0.7993832801299547
0	java_recusion_ab6512	106	java_recusion_tv812	0.8783232701623258
106	java_recusion_tv812	0	java_recusion_ab6512	0.8783232701623258
0	java_recusion_ab6512	107	java_recusion_va1012	0.8191419593813973
107	java_recusion_va1012	0	java_recusion_ab6512	0.8191419593813973
0	java_recusion_ab6512	108	java_recusion_vws11	0.7833778497149056
108	java_recusion_vws11	0	java_recusion_ab6512	0.7833778497149056
0	java_recusion_ab6512	109	java_recusion_wds12	0.8673073035297537
